time,high,low,open,close
2017-11-08,644.2,522.79,603.17,617.41
2017-11-09,675.39,612.32,617.0,650.09
2017-11-10,1029.27,647.39,650.09,995.4
2017-11-11,1414.14,897.92,989.87,1325.56
2017-11-12,2766.84,1102.15,1340.25,1376.66
2017-11-13,1590.17,999.89,1373.12,1355.37
2017-11-14,1409.79,1170.98,1355.37,1252.12
2017-11-15,1412.94,1170.41,1252.12,1191.53
2017-11-16,1193.4,873.44,1185.84,896.51
2017-11-17,1256.63,829.28,904.74,1178.09
2017-11-18,1436.36,1190.48,1178.86,1243.39
2017-11-19,1303.71,1141.25,1243.41,1172.62
2017-11-20,1270.51,1184.76,1172.62,1249.9
2017-11-21,1227.96,1144.53,1250.07,1172.07
2017-11-22,1369.41,1170.13,1172.06,1299.41
2017-11-23,1671.6,1254.9,1299.4,1670.8
2017-11-24,1818.12,1498.29,1670.79,1620.48
2017-11-25,1744.81,1537.32,1619.36,1541.7
2017-11-26,1766.77,1552.45,1544.31,1723.91
2017-11-27,1802.59,1585.54,1724.84,1587.48
2017-11-28,1626.57,1485.91,1587.39,1485.91
2017-11-29,1595.7,1315.32,1485.91,1342.87
2017-11-30,1415.75,1174.84,1333.52,1318.42
2017-12-01,1514.09,1402.22,1323.96,1432.63
2017-12-02,1444.85,1387.01,1432.63,1393.56
2017-12-03,1616.08,1429.39,1392.46,1517.11
2017-12-04,1570.39,1522.73,1516.84,1547.14
2017-12-05,1577.4,1417.56,1547.2,1426.89
2017-12-06,1681.57,1317.48,1426.89,1357.91
2017-12-07,1700.2,1250.29,1358.51,1251.14
2017-12-08,1802.15,1094.93,1252.45,1396.46
2017-12-09,1508.09,1267.63,1396.51,1379.84
2017-12-10,1445.57,1256.57,1379.52,1296.63
2017-12-11,1543.07,1344.29,1296.25,1409.54
2017-12-12,1636.13,1435.39,1409.61,1613.06
2017-12-13,1643.34,1479.66,1615.45,1591.55
2017-12-14,2053.26,1561.3,1572.91,1933.27
2017-12-15,2082.65,1617.71,1943.21,1806.26
2017-12-16,2085.44,1755.22,1805.15,1783.07
2017-12-17,1884.07,1747.56,1783.18,1842.7
2017-12-18,2311.36,1750.39,1827.41,2146.79
2017-12-19,2947.49,1946.88,2153.23,2717.93
2017-12-20,4112.39,2665.55,2670.97,3715.91
2017-12-21,3717.55,2857.3,3715.91,3084.09
2017-12-22,3163.97,1716.84,3084.09,2521.46
2017-12-23,3249.32,2466.89,2521.45,2991.57
2017-12-24,2997.03,2463.15,2991.58,2797.92
2017-12-25,2852.47,2734.88,2822.8,2748.71
2017-12-26,3145.01,2749.52,2748.06,2938.6
2017-12-27,2881.37,2684.04,2937.11,2708.7
2017-12-28,2575.93,2452.1,2708.65,2492.41
2017-12-29,2861.24,2373.33,2492.37,2616.57
