time,high,low,open,close,returns
2017-10-01,55.55,53.58,55.41,54.8,
2017-10-02,54.97,52.93,54.8,53.29,-0.027554744525547403
2017-10-03,53.54,51.34,53.29,52.15,-0.021392381309814246
2017-10-04,52.98,50.53,52.15,51.22,-0.017833173537871505
2017-10-05,51.87,50.17,51.22,51.64,0.00819992190550578
2017-10-06,52.75,51.34,51.64,52.08,0.008520526723470034
2017-10-07,52.9,51.61,52.08,52.57,0.009408602150537737
2017-10-08,54.79,52.32,52.57,53.3,0.013886246908883404
2017-10-09,53.44,48.12,53.3,50.08,-0.06041275797373358
2017-10-10,51.63,49.69,50.08,50.58,0.009984025559105492
2017-10-11,51.05,50.18,50.58,50.79,0.004151838671411667
2017-10-12,59.72,50.73,50.79,59.72,0.17582201220712745
2017-10-13,60.76,55.11,59.72,59.05,-0.011219022103148069
2017-10-14,66.48,58.34,59.05,63.94,0.08281117696867057
2017-10-15,69.95,62.08,63.94,65.57,0.02549264935877371
2017-10-16,66.41,62.28,65.58,64.76,-0.012353210309592577
2017-10-17,64.97,58.5,64.76,59.19,-0.08600988264360732
2017-10-18,61.89,53.05,59.19,60.55,0.022976854198344387
2017-10-19,61.39,58.35,60.55,59.68,-0.014368290668868688
2017-10-20,62.17,58.31,59.68,60.09,0.006869973190348544
2017-10-21,60.36,56.17,60.08,58.09,-0.03328340822100184
2017-10-22,58.67,55.73,58.09,56.51,-0.02719917369598912
2017-10-23,56.57,51.92,56.52,54.63,-0.03326844806228979
2017-10-24,58.98,52.35,54.63,55.56,0.017023613399231197
2017-10-25,56.4,53.52,55.56,56.19,0.011339092872570067
2017-10-26,56.95,54.9,56.19,55.55,-0.0113899270332799
2017-10-27,55.99,54.69,55.55,55.02,-0.009540954095409448
2017-10-28,55.79,53.95,55.02,54.22,-0.014540167211922972
2017-10-29,57.83,53.86,54.22,56.75,0.046661748432312855
2017-10-30,58.66,55.81,56.75,56.22,-0.009339207048458142
2017-10-31,56.74,55.49,56.22,55.5,-0.012806830309498363
2017-11-01,55.62,52.72,55.5,52.83,-0.04810810810810817
2017-11-02,54.9,50.03,52.82,54.19,0.025742949081960953
2017-11-03,56.13,53.79,54.19,55.98,0.03303192470935601
2017-11-04,56.12,54.62,55.98,54.83,-0.020543051089674913
2017-11-05,55.45,54.43,54.84,54.6,-0.004194783877439323
2017-11-06,55.79,53.43,54.6,54.5,-0.001831501831501825
2017-11-07,63.49,54.47,54.5,60.52,0.11045871559633036
2017-11-08,64.07,59.59,60.52,62.38,0.030733641771315323
2017-11-09,66.9,61.59,62.38,64.15,0.028374478999679376
2017-11-10,65.75,56.02,64.15,58.99,-0.08043647700701484
2017-11-11,63.77,58.64,59.07,62.14,0.05339888116629932
2017-11-12,62.26,56.73,62.14,58.54,-0.05793369810106219
2017-11-13,61.84,58.07,58.53,61.0,0.042022548684660155
2017-11-14,63.41,60.12,61.0,62.13,0.018524590163934374
2017-11-15,76.1,62.08,62.13,63.16,0.01657814260421686
2017-11-16,72.5,62.5,63.15,70.7,0.11937935402153266
2017-11-17,71.29,65.33,70.7,67.36,-0.04724186704384725
2017-11-18,69.77,65.41,67.36,69.42,0.030581947743467897
2017-11-19,73.24,68.47,69.42,71.76,0.03370786516853941
2017-11-20,73.16,70.9,71.76,72.38,0.008639910813823759
2017-11-21,72.85,68.09,72.38,69.91,-0.034125449019066
2017-11-22,72.04,69.88,69.91,72.03,0.030324703189815505
2017-11-23,76.77,70.74,72.03,72.94,0.01263362487852282
2017-11-24,77.61,72.34,72.97,77.54,0.0630655333150536
2017-11-25,89.47,77.07,77.53,88.79,0.14508640701573383
2017-11-26,88.77,83.73,88.77,86.24,-0.028719450388557388
2017-11-27,93.11,86.12,86.2,90.99,0.05507884972170696
2017-11-28,94.53,89.53,90.99,94.22,0.03549840641828772
2017-11-29,103.03,78.12,94.22,85.41,-0.09350456378688177
2017-11-30,92.23,76.95,85.4,85.94,0.006205362369746004
2017-12-01,100.22,81.11,85.94,99.15,0.15371189201768676
2017-12-02,103.41,97.52,99.15,99.32,0.0017145738779624775
2017-12-03,106.77,96.87,99.32,100.7,0.013894482480869996
2017-12-04,103.95,95.39,100.71,103.87,0.031479642502482585
2017-12-05,103.91,100.37,103.86,100.49,-0.03254067584480613
2017-12-06,103.0,95.11,100.49,98.97,-0.01512588317245489
2017-12-07,99.81,86.93,98.94,96.0,-0.03000909366474691
2017-12-08,136.4,93.37,95.99,125.24,0.3045833333333332
2017-12-09,179.54,125.34,125.34,155.98,0.24544873842222925
2017-12-10,156.72,130.39,155.98,147.84,-0.0521861777150916
2017-12-11,225.55,146.97,147.46,214.54,0.4511634199134198
2017-12-12,401.76,210.36,214.53,328.52,0.5312762188869209
2017-12-13,347.8,276.12,327.96,305.27,-0.07077194691342992
2017-12-14,314.78,268.12,305.03,279.81,-0.08340157893012734
2017-12-15,317.69,249.24,280.02,300.27,0.07312104642435924
2017-12-16,311.18,285.56,299.98,302.04,0.0058946947747029466
2017-12-17,332.09,300.59,302.04,319.57,0.05803867037478461
2017-12-18,364.34,300.88,319.57,357.51,0.11872203273148285
2017-12-19,376.1,324.37,357.51,346.87,-0.02976140527537685
2017-12-20,346.73,286.54,346.73,304.81,-0.12125580188543261
2017-12-21,327.26,286.39,304.77,307.69,0.009448508907188069
2017-12-22,309.11,158.96,307.69,262.09,-0.14820111150833637
2017-12-23,312.71,256.31,262.15,284.11,0.08401694074554555
