time,high,low,open,close,returns
2017-10-01,4412.62,4258.32,4360.62,4403.09,
2017-10-02,4477.38,4364.67,4403.09,4401.32,-0.00040199042036392907
2017-10-03,4435.99,4230.73,4401.32,4314.18,-0.01979860587278348
2017-10-04,4355.29,4183.57,4314.18,4218.66,-0.022140939877334898
2017-10-05,4365.76,4143.35,4218.66,4321.44,0.024363186414643412
2017-10-06,4422.15,4296.93,4321.44,4371.94,0.011685919508312104
2017-10-07,4472.92,4319.48,4371.94,4435.81,0.014609075147417494
2017-10-08,4622.87,4419.36,4435.81,4611.7,0.039652284475665045
2017-10-09,4875.38,4556.15,4611.7,4777.49,0.035949866643537165
2017-10-10,4930.0,4722.81,4777.49,4763.36,-0.002957620005484052
2017-10-11,4874.89,4718.6,4763.36,4824.2,0.012772496725000915
2017-10-12,5432.63,4814.98,4824.2,5432.62,0.126118320135981
2017-10-13,5852.78,5391.97,5432.62,5637.26,0.03766874914866136
2017-10-14,5839.62,5568.86,5637.26,5824.71,0.03325196992865331
2017-10-15,5862.69,5448.22,5824.71,5688.14,-0.02344666086380265
2017-10-16,5795.33,5576.1,5677.35,5759.33,0.012515514737682087
2017-10-17,5773.32,5521.09,5759.25,5598.58,-0.027911232730196023
2017-10-18,5601.3,5114.87,5598.58,5575.83,-0.004063530395207349
2017-10-19,5737.41,5517.62,5576.71,5698.65,0.022027213885645658
2017-10-20,6075.32,5611.39,5698.62,5993.11,0.05167188720135463
2017-10-21,6187.2,5874.54,5993.11,6006.65,0.0022592610514406974
2017-10-22,6070.56,5722.98,6006.65,5982.86,-0.0039606103235581
2017-10-23,6048.98,5644.22,5982.86,5903.61,-0.013246173234874314
2017-10-24,5904.63,5463.41,5903.61,5513.08,-0.0661510499507928
2017-10-25,5747.96,5375.64,5513.08,5734.0,0.04007197428660558
2017-10-26,5970.4,5689.92,5734.0,5887.61,0.026789326822462378
2017-10-27,5997.83,5692.32,5887.62,5764.56,-0.020899821829231113
2017-10-28,5871.04,5654.8,5764.56,5726.61,-0.006583329863857901
2017-10-29,6295.43,5679.37,5726.61,6147.52,0.07350072730638213
2017-10-30,6226.18,6018.97,6147.7,6124.28,-0.0037803862370517916
2017-10-31,6467.2,6090.83,6124.28,6451.24,0.05338750024492667
2017-11-01,6738.74,6355.0,6449.1,6737.78,0.04441626726024772
2017-11-02,7339.91,6737.77,6737.78,7024.81,0.042600084894431234
2017-11-03,7445.62,6938.93,7024.81,7152.12,0.01812291008582423
2017-11-04,7492.24,6957.84,7146.98,7363.8,0.029596818845321504
2017-11-05,7599.44,7284.33,7363.8,7389.55,0.003496835872783155
2017-11-06,7429.7,6934.73,7389.55,6959.23,-0.058233586618941735
2017-11-07,7222.37,6957.8,6959.27,7102.75,0.020622971219517172
2017-11-08,7869.1,7026.97,7102.23,7444.36,0.048095455985357694
2017-11-09,7457.12,7040.83,7444.36,7129.59,-0.04228301694168468
2017-11-10,7318.97,6406.05,7129.59,6565.8,-0.07907747850858182
2017-11-11,6821.5,6197.87,6565.8,6339.86,-0.0344116482378386
2017-11-12,6490.53,5493.64,6339.87,5878.13,-0.07282968393623823
2017-11-13,6760.15,5828.34,5878.09,6522.45,0.10961309123819984
2017-11-14,6728.59,6419.18,6522.45,6597.06,0.011438953154106368
2017-11-15,7330.06,6596.94,6597.06,7283.22,0.10400996807668861
2017-11-16,7964.64,7119.17,7283.02,7853.68,0.07832524625097137
2017-11-17,8000.19,7534.7,7853.68,7699.95,-0.019574263275305426
2017-11-18,7857.52,7458.9,7699.95,7780.91,0.010514353989311553
2017-11-19,8100.87,7675.41,7781.02,8042.64,0.03363745371685334
2017-11-20,8294.12,7947.28,8042.64,8244.69,0.025122347885768948
2017-11-21,8368.36,7819.06,8245.87,8099.97,-0.01755311600557452
2017-11-22,8304.37,8091.63,8099.92,8234.55,0.016614876351393804
2017-11-23,8266.55,8012.35,8234.5,8013.41,-0.02685514083951146
2017-11-24,8332.94,7900.17,8013.38,8200.8,0.023384551645304397
2017-11-25,8761.98,8153.7,8203.45,8754.69,0.0675409716125257
2017-11-26,9474.62,8746.56,8754.62,9318.42,0.06439177172464117
2017-11-27,9733.61,9316.84,9318.42,9733.2,0.04451183784375479
2017-11-28,9969.58,9638.2,9732.63,9906.04,0.017757777503801364
2017-11-29,11417.84,8938.7,9906.04,9837.86,-0.006882669563216037
2017-11-30,10689.06,9023.77,9848.05,9946.76,0.011069480557763578
2017-12-01,10942.8,9420.93,9947.08,10861.47,0.09196059822494962
2017-12-02,11175.23,10715.55,10861.47,10912.73,0.004719434846296222
2017-12-03,11851.09,10578.43,10912.72,11246.21,0.03055880609160133
2017-12-04,11624.63,10917.81,11244.2,11623.91,0.03358464762795643
2017-12-05,11901.87,11486.13,11624.37,11667.13,0.0037181980934126724
2017-12-06,13843.2,11661.76,11667.13,13749.57,0.17848776862861748
2017-12-07,16879.26,13401.61,13750.09,16850.31,0.22551541611846782
2017-12-08,17294.85,13906.1,16867.98,16047.61,-0.04763710578618441
2017-12-09,16313.18,13151.47,16048.18,14843.42,-0.07503858830068777
2017-12-10,15783.2,13031.0,14839.98,15059.6,0.014564029044519478
2017-12-11,17399.18,15024.56,15060.45,16732.47,0.11108329570506537
2017-12-12,17560.65,16254.53,16733.29,17083.9,0.021002876443226848
2017-12-13,17267.96,15669.86,17083.9,16286.82,-0.04665679382342447
2017-12-14,16941.08,16023.64,16286.82,16467.91,0.011118806495067801
2017-12-15,17987.03,16442.2,16467.91,17604.85,0.06903972635264566
2017-12-16,19587.7,17318.54,17594.08,19345.49,0.09887275381500005
2017-12-17,19870.62,18750.91,19346.6,19065.71,-0.014462285524946772
2017-12-18,19221.1,18114.42,19065.71,18972.32,-0.004898322695561785
2017-12-19,19021.97,16812.8,18971.19,17523.7,-0.07635439419111623
2017-12-20,17813.6,15642.69,17521.73,16461.97,-0.060588231937319104
2017-12-21,17301.83,14952.98,16461.09,15632.12,-0.05041012709900461
2017-12-22,15823.72,10875.71,15632.12,13664.97,-0.1258402571116395
2017-12-23,15493.23,13356.07,13664.97,14396.46,0.053530304128000195
2017-12-24,14413.72,12166.45,14396.63,13789.95,-0.04212910673873982
2017-12-25,14467.43,13010.71,13789.95,13833.49,0.003157371854140001
2017-12-26,16094.67,13748.49,13830.19,15756.56,0.1390155340409398
2017-12-27,16514.59,14534.66,15757.02,15416.64,-0.021573236797879702
2017-12-28,15505.51,13466.07,15416.34,14398.7,-0.0660286547522676
2017-12-29,15109.81,13951.08,14398.45,14392.57,-0.00042573287866276566
2017-12-30,14461.46,11962.09,14392.14,12531.52,-0.1293063017932169
2017-12-31,14241.82,12359.43,12532.38,13850.4,0.10524501417226317
2018-01-01,13921.53,12877.67,13850.49,13444.88,-0.029278576792006072
2018-01-02,15306.13,12934.16,13444.88,14754.13,0.09737907664478973
2018-01-03,15435.01,14579.71,14754.09,15156.62,0.02727981927772105
2018-01-04,15408.66,14244.67,15156.49,15180.08,0.0015478385022518193
2018-01-05,17126.95,14832.36,15180.08,16954.78,0.11690979230675991
2018-01-06,17252.85,16286.57,16954.76,17172.3,0.012829420375846778
2018-01-07,17184.81,15791.13,17174.5,16228.16,-0.05498040448862407
2018-01-08,16302.92,13902.31,16228.26,14976.17,-0.07714922702265692
2018-01-09,15390.28,14221.55,14976.17,14468.5,-0.033898520115623665
2018-01-10,14919.49,13450.54,14468.09,14919.49,0.031170473787883957
2018-01-11,14979.96,12825.95,14920.36,13308.06,-0.10800838366458909
2018-01-12,14129.08,12851.91,13308.06,13841.19,0.04006068502847149
2018-01-13,14595.04,13830.28,13841.19,14243.12,0.029038688147478675
2018-01-14,14415.67,13031.91,14244.12,13638.63,-0.042440841613354485
2018-01-15,14355.82,13416.71,13638.63,13631.98,-0.0004875856299348946
2018-01-16,13648.84,10032.69,13634.6,11282.49,-0.1723513385436305
2018-01-17,11736.3,9205.38,11282.49,11162.7,-0.010617337130367388
2018-01-18,12018.43,10642.33,11162.7,11175.52,0.0011484676646331682
2018-01-19,11780.49,10867.18,11175.52,11521.76,0.03098200352198366
2018-01-20,13031.04,11502.11,11521.82,12783.94,0.10954749968754784
2018-01-21,12787.35,11101.73,12783.54,11549.93,-0.09652814390555653
2018-01-22,11913.74,10067.76,11549.98,10814.52,-0.06367224736426969
2018-01-23,11388.52,9980.5,10814.52,10858.23,0.004041788262447055
2018-01-24,11531.6,10506.55,10853.78,11429.02,0.052567499491169345
2018-01-25,11741.92,10930.34,11428.11,11175.87,-0.02214975562209176
2018-01-26,11656.54,10346.86,11175.87,11104.2,-0.006412923557629124
2018-01-27,11638.69,10879.2,11104.34,11459.71,0.032015813836205886
2018-01-28,12064.19,11407.94,11460.39,11767.74,0.026879388745439492
2018-01-29,11860.29,11089.52,11767.74,11233.95,-0.04536045153954782
2018-01-30,11263.7,9871.21,11234.32,10107.26,-0.10029330734069497
2018-01-31,10377.96,9698.13,10107.4,10226.86,0.011833078401070063
2018-02-01,10280.84,8726.95,10226.86,9114.72,-0.10874696632201875
2018-02-02,9147.93,7786.2,9114.73,8870.82,-0.026758913054926503
2018-02-03,9504.37,8194.68,8872.87,9251.27,0.042887805185992
2018-02-04,9400.99,7889.83,9251.27,8218.05,-0.11168412553087315
2018-02-05,8391.29,6627.31,8218.05,6937.08,-0.15587274353405
