time,open,high,low,close,volume
2017-11-10,124.71,124.84,123.96,114.199525557,11980950.0
2017-11-13,124.8,124.81,124.31,114.438783225,5880784.0
2017-11-14,124.77,125.24,124.77,115.211769538,6195891.0
2017-11-15,126.06,126.67,125.64,116.463271188,9568163.0
2017-11-16,126.01,126.33,125.45,115.451027207,5894944.0
2017-11-17,126.07,126.44,125.96,116.306833482,6938792.0
2017-11-20,125.91,126.38,125.91,116.260822392,4232349.0
2017-11-21,127.09,127.29,126.31,116.628911112,5818422.0
2017-11-22,126.62,127.2,126.51,117.006202051,4140708.0
2017-11-24,126.93,127.03,126.69,116.68412442,3141388.0
2017-11-27,126.86,127.05,126.42,116.518484496,6079853.0
2017-11-28,126.77,127.18,126.47,116.674922202,5983021.0
2017-11-29,125.56,125.68,125.1,115.524644951,14547146.0
2017-11-30,125.31,125.52,124.44,115.138151794,9630008.0
2017-12-01,125.87,127.69,125.1,116.688453144,24583127.0
2017-12-04,125.92,126.67,125.81,116.743777578,9609316.0
2017-12-05,126.47,127.5,126.45,117.324684141,10958930.0
2017-12-06,127.87,128.23,127.66,117.730396661,11834449.0
2017-12-07,127.93,128.1,126.3,116.808322752,13056807.0
2017-12-08,126.59,126.74,126.24,116.817543491,4786306.0
2017-12-11,126.86,127.09,126.41,116.577804275,3863802.0
2017-12-12,126.17,126.41,125.67,116.531700579,7502439.0
2017-12-13,126.81,127.39,126.59,117.407670793,8532859.0
2017-12-14,127.05,127.98,126.79,117.905590703,6884986.0
2017-12-15,127.81,128.59,127.56,118.348186179,7239398.0
2017-12-18,127.97,128.0,126.91,117.269359706,7239706.0
2017-12-19,126.32,126.38,125.07,115.747937757,11045782.0
2017-12-20,124.31,124.71,123.95,114.466255024,10005783.0
2017-12-21,124.03,124.86,124.0,115.131585751,7026878.0
2017-12-22,124.7,124.84,124.53,115.288667369,3974571.0
2017-12-26,124.98,125.53,124.97,115.63055089,3168442.0
2017-12-27,125.71,126.98,125.7,117.136686402,9059659.0
2017-12-28,126.53,126.83,126.37,117.035045355,5297264.0
2017-12-29,126.5,127.12,126.48,117.219847259,7580515.0
2018-01-02,126.49,126.51,125.07,115.953954221,16238206.0
2018-01-03,126.0,126.2,125.49,116.508359931,8605121.0
2018-01-04,125.65,126.16,125.37,116.489879741,9217876.0
2018-01-05,125.87,126.18,125.36,116.157236315,10915437.0
2018-01-08,125.99,126.03,125.17,116.083315553,8850576.0
2018-01-09,124.81,124.83,123.81,114.530979566,16226402.0
2018-01-10,122.81,123.93,122.66,114.392378138,14302604.0
2018-01-11,123.51,124.59,123.31,114.863622992,12511001.0
2018-01-12,124.1,124.79,123.91,115.05766499,9987129.0
2018-01-16,125.17,125.28,124.56,115.538149939,9125890.0
2018-01-17,125.08,125.64,124.6,115.381068321,8326973.0
2018-01-18,123.93,124.27,123.54,114.309217282,10843892.0
2018-01-19,123.4,123.56,122.98,113.708611096,11374309.0
2018-01-22,123.45,123.71,122.99,113.819492238,8985125.0
2018-01-23,123.81,124.2,123.24,114.309217282,12325687.0
2018-01-24,122.85,123.13,122.54,113.690130906,9038909.0
2018-01-25,123.16,124.15,122.8,114.623380517,12173297.0
2018-01-26,123.88,123.91,123.1,114.19833614,6462945.0
2018-01-29,122.97,122.97,122.3,113.403687956,12223038.0
2018-01-30,122.28,122.37,121.7,112.738401104,12064454.0
2018-01-31,122.87,122.93,121.94,113.403687956,18045079.0
2018-02-01,122.48,122.53,120.63,111.763156184,18632780.0
2018-02-02,120.15,120.26,119.24,110.726082986,23944423.0
2018-02-05,119.17,121.82,118.64,111.772415766,28606241.0
2018-02-06,120.42,120.87,119.72,111.077947107,10935439.0
2018-02-07,120.13,120.33,118.56,110.022354745,16271063.0
2018-02-08,118.01,119.18,117.85,109.901980178,15155094.0
2018-02-09,118.11,119.09,117.79,109.207511519,15661576.0
