,open,high,low,close,adj_close,volume,returns,vol_10,vol_20,vol_30,mom_10,mom_20,mom_30,mom_60,mom_90
2017-11-10,153.36,153.8,153.06,153.68,149.226193273,20150762.0,,,,,,,,,
2017-11-13,153.12,154.0693,153.1,153.87,149.410686875,12468169.0,0.0012363352420614593,,,,,,,,
2017-11-14,153.31,153.5,152.57,153.31,148.866916259,25050308.0,-0.0036394358874374255,,,,,,,,
2017-11-15,152.61,153.0,151.78,152.59,148.16778261,24762217.0,-0.004696366838431887,,,,,,,,
2017-11-16,153.38,154.89,153.33,154.54,150.061269576,34729258.0,0.012779343338357618,,,,,,,,
2017-11-17,154.58,154.69,153.8,153.95,149.488368392,28725800.0,-0.003817781804063669,,,,,,,,
2017-11-20,154.08,154.2,153.61,153.83,149.371846117,21126898.0,-0.0007794738551476499,,,,,,,,
2017-11-21,154.56,155.57,154.49,155.5,150.993447774,20147763.0,0.010856139894688921,,,,,,,,
2017-11-22,155.63,155.84,155.341,155.69,151.177941376,17254888.0,0.0012218649517685698,,,,,,,,
2017-11-24,155.86,156.31,155.76,156.26,151.731422182,8280586.0,0.0036611214593100794,,,,,,,,
2017-11-27,156.2,156.56,155.83,156.19,151.663450855,22653389.0,-0.0004479713298348731,0.09487410367301807,,,0.016332639250390413,,,,
2017-11-28,156.52,156.69,155.7,156.59,152.051858437,24446088.0,0.0025609834176323343,0.09495032580583855,,,0.017677260024696162,,,,
2017-11-29,156.41,156.45,153.12,153.86,149.400976685,71986338.0,-0.01743406347787213,0.13412523730335144,,,0.003587502446024571,,,,
2017-11-30,154.51,155.45,154.15,155.15,150.65359114,56595465.0,0.008384245417912384,0.13629103334675552,,,0.01677698407497208,,,,
2017-12-01,154.2,155.24,152.26,154.49,150.012718628,59015828.0,-0.004253947792458912,0.12376154557050528,,,-0.000323540830852731,,,,
2017-12-04,155.47,155.625,152.56,152.71,148.284304885,51243858.0,-0.01152178134507087,0.135858582250001,,,-0.008054563169860196,,,,
2017-12-05,152.64,154.55,152.1,152.81,148.381406781,40555384.0,0.0006548359635911716,0.13604800896792674,,,-0.006630696223103527,,,,
