,open,high,low,close,volume
2017-11-10,121.99,122.11,120.935,121.13,7116200.0
2017-11-13,121.43,121.55,121.27,121.31,6249206.0
2017-11-14,120.9,121.91,120.77,121.56,6188992.0
2017-11-15,122.13,122.36,121.25,121.41,4984387.0
2017-11-16,121.45,121.71,121.29,121.4,2796045.0
2017-11-17,122.15,123.17,121.95,122.86,10613583.0
2017-11-20,122.3,122.41,121.04,121.31,8356673.0
2017-11-21,121.67,122.0,121.5,121.51,4956456.0
2017-11-22,122.26,122.95,122.17,122.63,5211832.0
2017-11-24,122.36,122.61,122.22,122.32,1779705.0
2017-11-27,123.26,123.33,122.67,122.83,4961215.0
2017-11-28,123.05,123.17,122.53,122.81,5603112.0
2017-11-29,122.24,122.33,121.74,122.04,6138941.0
2017-11-30,121.44,121.695,120.64,121.1,7936260.0
2017-12-01,120.94,122.43,120.74,121.59,13080101.0
2017-12-04,121.15,121.2,120.84,121.18,6943679.0
2017-12-05,120.44,120.505,119.72,120.32,10041159.0
2017-12-06,120.03,120.44,119.87,120.07,6643006.0
2017-12-07,119.01,119.24,118.1,118.49,12900240.0
2017-12-08,118.63,118.92,118.33,118.48,5231287.0
2017-12-11,118.37,118.54,117.8,118.01,4522244.0
2017-12-12,117.73,118.17,117.4,118.15,8020109.0
2017-12-13,118.19,119.35,118.01,119.17,10086657.0
2017-12-14,119.1,119.285,118.705,118.93,6993592.0
2017-12-15,119.42,119.5,118.97,119.18,7531964.0
2017-12-18,119.64,119.99,119.6,119.73,5452212.0
2017-12-19,119.64,119.9,119.53,119.82,4018885.0
2017-12-20,119.96,120.36,119.81,120.14,5734625.0
2017-12-21,120.08,120.45,120.0,120.31,4823709.0
2017-12-22,120.69,121.14,120.57,120.94,5791312.0
2017-12-26,121.55,121.87,121.51,121.77,8224411.0
2017-12-27,122.0,122.34,121.875,122.23,6232678.0
2017-12-28,122.82,122.92,122.56,122.85,5732725.0
2017-12-29,123.7,124.085,123.46,123.65,7852109.0
2018-01-02,124.66,125.18,124.39,125.15,11762515.0
2018-01-03,125.05,125.09,124.101,124.82,7904326.0
2018-01-04,124.89,125.85,124.74,125.46,7329718.0
2018-01-05,124.93,125.48,124.83,125.33,5739904.0
2018-01-08,125.2,125.32,124.9,125.31,3566707.0
2018-01-09,124.49,124.86,124.23,124.73,9153584.0
2018-01-10,125.17,125.31,124.72,125.03,14809303.0
2018-01-11,125.37,125.66,125.25,125.44,5994730.0
2018-01-12,126.01,127.13,125.81,126.96,9258570.0
2018-01-16,126.6,127.18,126.4,127.17,8083895.0
2018-01-17,126.77,127.22,125.9,126.14,10130509.0
2018-01-18,126.13,126.52,125.8,125.86,6289271.0
2018-01-19,126.57,126.73,126.41,126.42,8773753.0
2018-01-22,126.51,126.75,126.28,126.65,4893546.0
2018-01-23,126.53,127.35,126.34,127.28,6190410.0
2018-01-24,128.39,129.265,128.2338,128.83,11827554.0
2018-01-25,128.69,129.515,127.36,127.97,15219664.0
2018-01-26,128.24,128.52,127.97,128.07,7828744.0
2018-01-29,127.58,127.63,126.915,127.35,6956392.0
2018-01-30,127.91,127.9167,126.74,126.8,9736105.0
2018-01-31,127.45,127.85,126.4,127.65,13418904.0
2018-02-01,127.18,128.15,127.08,128.07,10854639.0
2018-02-02,126.81,126.85,125.955,126.39,16789214.0
2018-02-05,126.82,127.31,126.44,126.71,13596327.0
2018-02-06,126.54,126.55,125.22,125.38,17672450.0
2018-02-07,125.48,125.77,124.41,124.79,8558460.0
2018-02-08,124.92,125.44,124.51,124.98,7343637.0
2018-02-09,124.65,125.14,124.39,124.77,14140696.0
2018-02-12,125.19,125.82,125.11,125.37,6984852.0
2018-02-13,125.67,126.18,125.52,126.08,5321327.0
2018-02-14,126.47,128.59,126.29,128.23,16416413.0
2018-02-15,128.43,128.569,127.94,128.38,7276495.0
2018-02-16,128.3,128.7,127.5689,127.96,7956921.0
2018-02-20,127.28,127.4,126.04,126.24,11148745.0
2018-02-21,126.36,126.76,125.44,125.66,7908753.0
2018-02-22,125.92,126.37,125.88,126.3,5346347.0
2018-02-23,126.06,126.3,125.85,126.14,4239709.0
2018-02-26,126.45,126.62,126.18,126.45,3194743.0
2018-02-27,126.06,126.15,124.59,125.13,7082301.0
2018-02-28,125.09,125.46,124.81,125.0,4534884.0
2018-03-01,124.15,125.31,123.575,124.72,12910071.0
2018-03-02,125.67,125.69,124.97,125.39,9994341.0
2018-03-05,125.35,125.48,124.96,125.18,5778343.0
2018-03-06,126.2,126.9563,126.13,126.53,8676781.0
