time,high,low,open,close
2017-11-04,14439.6,13359.06,13647.44,13637.58
2017-11-05,14603.57,13903.57,13637.58,14296.43
2017-11-06,13824.84,12694.27,14296.43,13573.25
2017-11-07,13707.4,13141.48,13570.06,13189.71
2017-11-08,13201.78,11400.59,13189.71,12275.96
2017-11-09,10188.05,9130.53,12275.96,9933.63
2017-11-10,11594.53,10875.62,9933.63,11256.22
2017-11-11,11932.4,10286.71,11170.37,11552.45
2017-11-12,13260.98,11341.46,11552.45,12700.0
2017-11-13,13748.73,11758.88,12700.0,12271.57
2017-11-14,13068.01,11939.55,12271.57,12813.6
2017-11-15,13942.47,12312.33,12813.6,12487.67
2017-11-16,13234.29,11740.0,12487.67,12017.14
2017-11-17,13071.86,12287.43,12051.58,12901.2
2017-11-18,13269.23,12597.63,12898.2,13210.06
2017-11-19,13914.04,12312.32,13204.14,12621.78
2017-11-20,12671.31,12181.06,12591.43,12445.68
2017-11-21,13182.86,12580.0,12454.04,12722.86
2017-11-22,13321.84,12695.4,12720.0,13307.47
2017-11-23,15257.31,13383.04,13345.82,14862.57
2017-11-24,16965.12,13985.47,14862.57,16718.02
2017-11-25,16956.9,15186.78,16709.3,15189.66
2017-11-26,13484.69,12173.47,15186.78,12890.31
2017-11-27,9816.6,9391.89,12824.87,9413.13
2017-11-28,4092.95,3850.62,9469.9,3899.59
2017-11-29,5267.11,4767.11,3840.69,4789.18
2017-11-30,3734.51,3563.65,4716.3,3661.64
2017-12-01,3601.95,3440.29,3659.97,3447.6
2017-12-02,3528.54,3446.65,3495.88,3465.67
2017-12-03,3595.56,3457.34,3464.85,3514.51
2017-12-04,3551.72,3451.72,3511.51,3466.38
2017-12-05,3771.75,3605.24,3464.66,3637.04
2017-12-06,4565.73,3464.79,3623.49,3580.99
2017-12-07,5308.46,4109.45,3581.67,4116.09
2017-12-08,4480.28,3359.15,4060.56,3916.9
2017-12-09,4350.94,3469.18,3922.43,3952.2
2017-12-10,4570.83,3890.28,3974.68,4002.78
2017-12-11,4328.67,3756.64,3997.23,4307.69
2017-12-12,4958.71,3843.87,4319.78,4882.58
2017-12-13,5380.84,4452.09,4812.98,5248.16
2017-12-14,3217.45,2808.59,5264.78,2943.0
2017-12-15,3466.89,2851.82,2940.93,3200.33
2017-12-16,1979.13,1696.12,3202.98,1727.18
2017-12-17,1526.52,1408.16,1728.02,1481.79
2017-12-18,1540.72,1335.84,1478.86,1490.13
2017-12-19,1574.4,1372.65,1485.87,1549.6
2017-12-20,1659.44,1520.5,1550.64,1639.11
