time,high,low,open,close
2017-10-09,226757.37,201612.9,224719.1,216450.22
2017-10-10,225733.63,213675.21,216450.22,221729.49
2017-10-11,227272.73,213219.62,221729.49,214132.76
2017-10-12,234192.04,198019.8,214132.76,206185.57
2017-10-13,222222.22,163132.14,206185.57,168067.23
2017-10-14,197238.66,147275.41,168067.23,180831.83
2017-10-15,192307.69,172711.57,180831.83,189393.94
2017-10-16,200000.0,183486.24,189753.32,199203.19
2017-10-17,226244.34,194552.53,199203.19,205761.32
2017-10-18,215517.24,201612.9,205761.32,209205.02
2017-10-19,217864.92,206611.57,209205.02,210970.46
2017-10-20,214132.76,189393.94,210970.46,196463.65
2017-10-21,217391.3,194174.76,196463.65,211416.49
2017-10-22,217391.3,210526.32,211416.49,215982.72
2017-10-23,240963.86,214132.76,215982.72,228832.95
2017-10-24,243309.0,194174.76,228832.95,204081.63
2017-10-25,215053.76,200000.0,204081.63,209205.02
2017-10-26,221729.49,207468.88,209205.02,216919.74
2017-10-27,229885.06,216919.74,216919.74,217864.92
2017-10-28,222222.22,217391.3,217864.92,221238.94
2017-10-29,223214.29,204081.63,221238.94,216919.74
2017-10-30,223214.29,212314.23,216919.74,214592.27
2017-10-31,222717.15,203252.03,214592.27,211416.49
2017-11-01,293255.13,210526.32,210970.46,292397.66
2017-11-02,393700.79,266666.67,292397.66,330033.0
2017-11-03,364963.5,303030.3,330033.0,317460.32
2017-11-04,338983.05,303030.3,320512.82,335570.47
2017-11-05,358422.94,323624.6,335570.47,357142.86
2017-11-06,357142.86,299401.2,357142.86,318471.34
2017-11-07,331125.83,298507.46,318471.34,321543.41
2017-11-08,337837.84,270270.27,321543.41,296735.91
2017-11-09,297619.05,204081.63,296735.91,221238.94
2017-11-10,248756.22,217864.92,221238.94,248756.22
2017-11-11,246913.58,223214.29,246913.58,233100.23
2017-11-12,263852.24,223214.29,233100.23,243902.44
2017-11-13,263852.24,238095.24,243902.44,253807.11
2017-11-14,258397.93,246913.58,253807.11,251889.17
2017-11-15,289017.34,251889.17,251889.17,273972.6
2017-11-16,289855.07,261096.61,273972.6,285714.29
2017-11-17,320512.82,286532.95,286532.95,299401.2
2017-11-18,305810.4,287356.32,299401.2,295857.99
2017-11-19,302114.8,275482.09,295857.99,286532.95
2017-11-20,294985.25,238095.24,285714.29,278551.53
2017-11-21,290697.67,273224.04,278551.53,285714.29
2017-11-22,293255.13,283286.12,285714.29,287356.32
2017-11-23,300300.3,285714.29,288184.44,292397.66
2017-11-24,303030.3,288184.44,292397.66,290697.67
2017-11-25,295857.99,277777.78,290697.67,287356.32
2017-11-26,294985.25,238095.24,287356.32,255102.04
2017-11-27,265957.45,168067.23,253807.11,193050.19
2017-11-28,204918.03,59630.29,194174.76,82987.55
2017-11-29,110045.19,99598.74,89004.48,109537.95
2017-11-30,84843.91,80962.29,109537.95,82573.38
2017-12-01,81988.72,78309.03,82611.17,81814.85
2017-12-02,82467.63,80553.82,81814.85,82014.94
2017-12-03,85572.71,82283.02,82034.52,84180.78
2017-12-04,85883.85,83465.77,84180.78,85520.75
2017-12-05,93977.07,89828.28,85563.31,93155.25
2017-12-06,120681.65,91581.55,92518.58,116765.72
2017-12-07,164647.59,127459.15,116880.65,164382.25
2017-12-08,161575.03,121143.18,164448.5,138567.59
