,open,high,low,close,adj_close,volume,returns
2017-11-10,257.73,258.29,257.37,258.09,240.302006209,59984662.0,
2017-11-13,257.31,258.59,257.27,258.33,240.525465008,50228648.0,0.0009299081715681279
2017-11-14,257.41,257.85,256.52,257.73,239.96681801,61315152.0,-0.002322610614330367
2017-11-15,256.62,257.22,255.63,256.44,238.765726965,80811525.0,-0.005005238039809234
2017-11-16,257.52,259.04,257.47,258.62,240.795477724,67777027.0,0.008501013882389774
2017-11-17,258.22,258.59,257.77,257.86,240.087858193,75756833.0,-0.0029386745031320105
2017-11-20,258.14,258.52,257.86,258.3,240.497532659,48075514.0,0.001706352284185142
2017-11-21,259.18,260.2,258.26,259.99,242.071055036,69176799.0,0.00654277971351136
2017-11-22,260.0,260.15,259.57,259.76,241.85690702,45033392.0,-0.0008846494095927637
2017-11-24,260.32,260.48,260.16,260.36,242.415554019,27856514.0,0.0023098244533417134
2017-11-27,260.41,260.75,260.0,260.23,242.294513836,52274922.0,-0.0004993086495621579
2017-11-28,260.76,262.9,260.65,262.87,244.752560627,98971719.0,0.010144871844137926
2017-11-29,263.02,263.63,262.2,262.71,244.603588094,77512102.0,-0.0006086658804733691
2017-11-30,263.76,266.05,263.67,265.01,246.745068253,127894389.0,0.00875490084123176
2017-12-01,264.76,265.31,260.76,264.46,246.232975172,164390902.0,-0.0020753933813818515
2017-12-04,266.31,266.8,264.08,264.14,245.935030106,94040560.0,-0.0012100128563865553
2017-12-05,263.19,265.15,263.04,263.19,245.050505693,77994544.0,-0.0035965775724994264
2017-12-06,263.3,263.73,262.71,263.24,245.097059609,75898566.0,0.00018997682282773098
2017-12-07,264.07,264.43,262.94,264.07,245.869854623,77218569.0,0.003153016258927055
2017-12-08,265.16,265.52,264.03,265.51,247.210607418,76563873.0,0.0054530995569357366
2017-12-11,266.31,266.38,265.48,266.31,247.955470082,83077533.0,0.0030130691876013582
2017-12-12,267.21,267.32,266.35,266.78,248.393076898,85195750.0,0.0017648605009199514
2017-12-13,267.06,267.56,266.65,266.75,248.365144548,102905409.0,-0.00011245220781153087
2017-12-14,267.09,267.22,265.6,265.66,247.350269168,100666692.0,-0.004086223055295157
2017-12-15,265.45,267.04,265.39,266.51,249.399882622,144610290.0,0.003199578408491943
2017-12-18,268.1,268.6,267.98,268.2,250.981383509,83653572.0,0.0063412254699635184
2017-12-19,268.48,268.53,267.09,267.17,250.017510187,82382876.0,-0.0038404175988067113
2017-12-20,268.27,268.33,266.69,267.03,249.886498279,76751500.0,-0.0005240109293709327
2017-12-21,267.74,268.39,267.3,267.58,250.401187917,67032339.0,0.0020596936673782373
2017-12-22,267.6,267.64,266.9,267.51,250.335681963,78720873.0,-0.0002616040062785041
2017-12-26,267.05,267.44,266.89,267.19,250.036226174,45244433.0,-0.0011962169638517484
2017-12-27,267.38,267.73,267.01,267.32,250.157880088,57750986.0,0.00048654515513302243
2017-12-28,267.89,267.92,267.45,267.87,250.672569727,45116139.0,0.002057459224898972
2017-12-29,268.53,268.55,266.64,266.86,249.727412391,96007424.0,-0.003770485683353808
2018-01-02,267.84,268.81,267.4,268.77,251.514789134,86655749.0,0.007157310949561513
2018-01-03,268.96,270.64,268.96,270.47,253.105648016,90070416.0,0.006325110689437308
2018-01-04,271.2,272.16,270.54,271.61,254.172459265,80636408.0,0.00421488519983737
2018-01-05,272.51,273.56,271.95,273.42,255.866256074,83523995.0,0.006663966716983882
2018-01-08,273.31,274.1,272.98,273.92,256.334155745,57319192.0,0.0018286884646332435
2018-01-09,274.4,275.25,274.08,274.54,256.914351337,57253957.0,0.0022634345794392274
2018-01-10,273.68,274.42,272.92,274.12,256.521315614,69574318.0,-0.0015298317185110655
2018-01-11,274.75,276.12,274.56,276.12,258.392914298,62361455.0,0.007296074711805156
