time,high,low,open,close
2017-10-09,26976.74,23046.51,21792.45,24348.84
2017-10-10,19833.33,19037.04,24348.84,19648.15
2017-10-11,21836.73,21265.31,19648.15,21448.98
2017-10-12,25045.45,22604.55,21448.98,24954.55
2017-10-13,29837.84,26589.19,24954.55,28378.38
2017-10-14,29025.0,25925.0,28378.38,27400.0
2017-10-15,31025.64,28051.28,27400.0,29538.46
2017-10-16,31378.38,30054.05,29538.46,30378.38
2017-10-17,33088.24,30882.35,30378.38,31088.24
2017-10-18,30944.44,28777.78,31088.24,30194.44
2017-10-19,32000.0,30294.12,30166.67,30735.29
2017-10-20,32812.5,31281.25,30735.29,31281.25
2017-10-21,26394.74,24265.79,30363.64,25373.68
2017-10-22,22753.49,21895.35,25386.84,21895.35
2017-10-23,23114.63,22321.95,21900.0,22612.2
2017-10-24,22191.49,19302.13,22617.07,21468.09
2017-10-25,19169.81,18283.02,21468.09,18503.77
2017-10-26,20012.24,19095.92,18492.45,19206.12
2017-10-27,18688.46,17867.31,19202.04,18365.38
2017-10-28,18461.54,18080.77,18350.0,18178.85
2017-10-29,20466.67,19077.08,18178.85,19233.33
2017-10-30,21693.18,20775.0,19233.33,20836.36
2017-10-31,21386.05,19937.21,20836.36,19965.12
2017-11-01,23435.14,21135.14,19965.12,21151.35
2017-11-02,23202.94,20008.82,21151.35,22676.47
2017-11-03,24721.88,22762.5,22676.47,24400.0
2017-11-04,27386.21,25317.24,24400.0,25651.72
2017-11-05,24083.87,23145.16,25651.72,23783.87
2017-11-06,26516.67,24490.0,23783.87,26113.33
2017-11-07,29096.77,24732.26,26113.33,27487.1
2017-11-08,27415.62,24046.88,27483.87,26140.62
2017-11-09,28245.45,25330.3,25348.48,27251.52
2017-11-10,31076.67,28763.33,27251.52,29846.67
2017-11-11,33666.67,29380.0,29833.33,32666.67
2017-11-12,34966.67,30380.0,32676.67,33176.67
2017-11-13,30696.97,27339.39,33176.67,28415.15
2017-11-14,25981.08,24616.22,28415.15,25529.73
2017-11-15,29525.0,26906.25,25508.11,27184.38
2017-11-16,34896.3,29914.81,27184.38,33496.3
2017-11-17,34815.38,32426.92,33496.3,33538.46
2017-11-18,34446.15,33169.23,33569.23,34396.15
2017-11-19,38887.5,36054.17,34396.15,37116.67
2017-11-20,35034.62,33442.31,37108.33,33788.46
2017-11-21,32914.81,31600.0,33807.69,31974.07
