time,high,low,open,close
2017-11-04,0.0026,0.00215,0.00217,0.00218
2017-11-05,0.00255,0.00215,0.00218,0.00248
2017-11-06,0.00248,0.00182,0.00248,0.00183
2017-11-07,0.00234,0.00183,0.00183,0.00231
2017-11-08,0.00247,0.00215,0.00231,0.00236
2017-11-09,0.00246,0.00225,0.00236,0.00243
2017-11-10,0.00243,0.002,0.00243,0.00228
2017-11-11,0.00233,0.00181,0.00228,0.00225
2017-11-12,0.0031,0.00157,0.00225,0.00185
2017-11-13,0.0023,0.00177,0.00185,0.00215
2017-11-14,0.00263,0.00203,0.00215,0.0025
2017-11-15,0.00262,0.0021,0.0025,0.0023
2017-11-16,0.00235,0.0019,0.0023,0.0022
2017-11-17,0.0023,0.002,0.0022,0.002
2017-11-18,0.0022,0.00175,0.002,0.00193
2017-11-19,0.00206,0.00192,0.00193,0.00196
2017-11-20,0.00224,0.00196,0.00196,0.00215
2017-11-21,0.00225,0.00183,0.00215,0.00212
2017-11-22,0.003,0.00212,0.00212,0.00253
2017-11-23,0.003,0.0022,0.00253,0.00233
2017-11-24,0.0026,0.00195,0.00233,0.0021
2017-11-25,0.00227,0.00196,0.0021,0.002
2017-11-26,0.00248,0.002,0.002,0.00208
2017-11-27,0.00235,0.00201,0.00208,0.00209
2017-11-28,0.00275,0.00201,0.00209,0.00226
2017-11-29,0.00294,0.00186,0.00226,0.00215
2017-11-30,0.00242,0.00204,0.00215,0.0022
2017-12-01,0.00239,0.00205,0.0022,0.00206
2017-12-02,0.0022,0.002,0.00206,0.00202
2017-12-03,0.0022,0.00195,0.00202,0.002
2017-12-04,0.00219,0.0019,0.002,0.00212
2017-12-05,0.0022,0.00202,0.00212,0.00204
2017-12-06,0.00419,0.00204,0.00204,0.00386
2017-12-07,0.00591,0.00294,0.00386,0.00364
2017-12-08,0.00414,0.00287,0.00364,0.00404
2017-12-09,0.00458,0.00394,0.00404,0.00439
2017-12-10,0.00449,0.00331,0.00439,0.00414
2017-12-11,0.00525,0.00409,0.00414,0.00496
2017-12-12,0.008,0.00488,0.00512,0.00767
2017-12-13,0.0206,0.00654,0.00767,0.01472
2017-12-14,0.02041,0.013,0.0147,0.01754
2017-12-15,0.01904,0.01265,0.01754,0.0185
2017-12-16,0.03901,0.01742,0.01851,0.03586
2017-12-17,0.04093,0.03015,0.03587,0.03417
2017-12-18,0.05256,0.0305,0.034,0.04556
2017-12-19,0.05009,0.0382,0.04556,0.04226
2017-12-20,0.04689,0.02686,0.04236,0.04689
2017-12-21,0.06969,0.04146,0.04688,0.04829
2017-12-22,0.04877,0.02072,0.04829,0.03653
2017-12-23,0.05638,0.03273,0.03744,0.04813
2017-12-24,0.05102,0.03162,0.04811,0.03812
2017-12-25,0.04018,0.03124,0.03615,0.03342
2017-12-26,0.05088,0.03144,0.03295,0.03763
2017-12-27,0.0418,0.03366,0.03762,0.03649
2017-12-28,0.04017,0.03001,0.03649,0.03984
2017-12-29,0.04244,0.03346,0.03983,0.03543
2017-12-30,0.04134,0.0288,0.03543,0.03751
2017-12-31,0.04936,0.03376,0.03752,0.04862
2018-01-01,0.06129,0.04231,0.04862,0.0579
2018-01-02,0.119,0.0579,0.0579,0.09997
2018-01-03,0.131,0.08494,0.09809,0.1294
2018-01-04,0.3876,0.1172,0.1307,0.2537
2018-01-05,0.382,0.2083,0.2536,0.2985
2018-01-06,0.3182,0.1453,0.2981,0.194
2018-01-07,0.2376,0.1466,0.1963,0.2182
2018-01-08,0.219,0.1241,0.2163,0.1509
2018-01-09,0.1547,0.1031,0.1517,0.1254
2018-01-10,0.1437,0.09765,0.1254,0.1328
2018-01-11,0.1339,0.1001,0.1332,0.1108
2018-01-12,0.117,0.104,0.1108,0.1086
2018-01-13,0.122,0.1009,0.1086,0.1041
2018-01-14,0.1061,0.08429,0.1041,0.08614
2018-01-15,0.1046,0.06668,0.08614,0.07826
2018-01-16,0.0839,0.04135,0.07767,0.05808
2018-01-17,0.107,0.04902,0.05743,0.0854
2018-01-18,0.1085,0.07608,0.08543,0.086
2018-01-19,0.09487,0.07865,0.08338,0.0809
2018-01-20,0.08946,0.08067,0.0809,0.08601
2018-01-21,0.08601,0.0675,0.08601,0.0719
2018-01-22,0.08292,0.06265,0.07176,0.07199
2018-01-23,0.07499,0.06296,0.07179,0.06861
2018-01-24,0.07628,0.06656,0.06858,0.07221
2018-01-25,0.07687,0.06671,0.07221,0.06896
2018-01-26,0.07213,0.06009,0.0697,0.06635
2018-01-27,0.0703,0.06399,0.06637,0.06983
2018-01-28,0.0729,0.06561,0.06956,0.06665
2018-01-29,0.06861,0.06364,0.06657,0.06446
2018-01-30,0.0655,0.05194,0.0646,0.05421
2018-01-31,0.05564,0.05047,0.05421,0.05564
2018-02-01,0.06013,0.04378,0.05701,0.04681
2018-02-02,0.04758,0.03215,0.04681,0.04201
2018-02-03,0.0498,0.03652,0.0421,0.04664
2018-02-04,0.04813,0.03675,0.04664,0.03872
2018-02-05,0.04025,0.02854,0.03872,0.03032
2018-02-06,0.03791,0.0252,0.03032,0.03624
2018-02-07,0.04132,0.03189,0.03622,0.03267
2018-02-08,0.03928,0.03245,0.03267,0.03828
2018-02-09,0.04747,0.03595,0.03827,0.0469
2018-02-10,0.05688,0.04322,0.0469,0.04815
2018-02-11,0.04856,0.03904,0.04815,0.04219
2018-02-12,0.04863,0.042,0.04214,0.04581
2018-02-13,0.04647,0.04213,0.04581,0.04308
2018-02-14,0.04683,0.04271,0.04308,0.04607
2018-02-15,0.04821,0.04452,0.04607,0.04643
2018-02-16,0.05412,0.04614,0.04643,0.05273
2018-02-17,0.05503,0.05103,0.05269,0.05493
2018-02-18,0.05551,0.04751,0.05493,0.0496
2018-02-19,0.05341,0.04941,0.04957,0.05172
