time,high,low,open,close
2017-11-08,0.0352,0.02905,0.0302,0.0336
2017-11-09,0.0399,0.03325,0.0334,0.03902
2017-11-10,0.03955,0.0306,0.03902,0.03282
2017-11-11,0.0355,0.0315,0.03319,0.0326
2017-11-12,0.03324,0.0269,0.0326,0.02854
2017-11-13,0.0321,0.02789,0.02824,0.03001
2017-11-14,0.03681,0.02995,0.03001,0.0359
2017-11-15,0.03748,0.03404,0.0355,0.0372
2017-11-16,0.03788,0.03395,0.037,0.03689
2017-11-17,0.0374,0.0346,0.03707,0.03578
2017-11-18,0.03643,0.03436,0.03535,0.03637
2017-11-19,0.04,0.03606,0.03637,0.0365
2017-11-20,0.04,0.036,0.03671,0.03862
2017-11-21,0.03897,0.03618,0.0384,0.03787
2017-11-22,0.0428,0.03741,0.03787,0.0423
2017-11-23,0.044,0.03981,0.04229,0.04037
2017-11-24,0.0413,0.0382,0.04015,0.04043
2017-11-25,0.0439,0.0393,0.04004,0.04328
2017-11-26,0.0486,0.0431,0.04328,0.0486
2017-11-27,0.06185,0.0475,0.04863,0.0605
2017-11-28,0.08361,0.056,0.059,0.07989
2017-11-29,0.09819,0.05676,0.0799,0.06607
2017-11-30,0.0785,0.0627,0.0656,0.07262
2017-12-01,0.08994,0.07012,0.072,0.08748
2017-12-02,0.09818,0.08748,0.08748,0.09321
2017-12-03,0.09665,0.086,0.09359,0.08946
2017-12-04,0.09704,0.087,0.08921,0.09701
2017-12-05,0.129,0.0933,0.09701,0.1225
2017-12-06,0.1587,0.1102,0.1226,0.1398
2017-12-07,0.154,0.1185,0.1398,0.126
2017-12-08,0.14,0.11,0.126,0.1335
2017-12-09,0.1445,0.118,0.1328,0.1319
2017-12-10,0.1347,0.1,0.1311,0.114
2017-12-11,0.1493,0.114,0.114,0.1404
2017-12-12,0.155,0.13,0.1405,0.147
2017-12-13,0.1551,0.1338,0.146,0.1449
2017-12-14,0.218,0.1425,0.1449,0.1858
2017-12-15,0.1988,0.16,0.1856,0.195
2017-12-16,0.235,0.187,0.1932,0.2298
2017-12-17,0.299,0.2237,0.2339,0.263
2017-12-18,0.2765,0.2467,0.2635,0.2736
2017-12-19,0.305,0.2299,0.2739,0.2565
2017-12-20,0.2595,0.19,0.2573,0.2494
2017-12-21,0.2822,0.22,0.2494,0.247
2017-12-22,0.27,0.143,0.2488,0.204
2017-12-23,0.2541,0.199,0.205,0.2222
2017-12-24,0.2245,0.1807,0.2226,0.2116
2017-12-25,0.2291,0.201,0.2118,0.222
2017-12-26,0.225,0.2071,0.22,0.2221
2017-12-27,0.23,0.211,0.2221,0.227
2017-12-28,0.227,0.1922,0.227,0.2174
2017-12-29,0.33,0.2155,0.2174,0.317
2017-12-30,0.37,0.259,0.316,0.309
2017-12-31,0.3586,0.2953,0.3043,0.354
2018-01-01,0.5231,0.3521,0.354,0.484
2018-01-02,0.5898,0.462,0.4848,0.556
2018-01-03,0.9199,0.5524,0.557,0.8848
2018-01-04,0.91,0.625,0.886,0.695
2018-01-05,0.78,0.5353,0.6948,0.64
2018-01-06,0.77,0.581,0.6351,0.6871
2018-01-07,0.7349,0.672,0.6883,0.705
2018-01-08,0.709,0.5175,0.7054,0.614
2018-01-09,0.643,0.5478,0.614,0.5614
2018-01-10,0.5744,0.4649,0.5698,0.559
2018-01-11,0.63,0.42,0.558,0.5567
2018-01-12,0.7113,0.5195,0.5581,0.672
2018-01-13,0.718,0.622,0.672,0.658
2018-01-14,0.6594,0.5649,0.6594,0.6196
2018-01-15,0.674,0.59,0.6194,0.5979
2018-01-16,0.602,0.32,0.5951,0.4301
2018-01-17,0.5044,0.3005,0.43,0.471
2018-01-18,0.5618,0.44,0.475,0.492
2018-01-19,0.525,0.463,0.492,0.5
2018-01-20,0.55,0.4891,0.5,0.526
2018-01-21,0.53,0.431,0.526,0.4513
2018-01-22,0.53,0.42,0.46,0.478
2018-01-23,0.518,0.429,0.478,0.4838
2018-01-24,0.59,0.47,0.484,0.5687
2018-01-25,0.648,0.55,0.5687,0.608
2018-01-26,0.6482,0.544,0.608,0.6271
2018-01-27,0.6399,0.606,0.6271,0.6185
2018-01-28,0.635,0.6074,0.611,0.624
2018-01-29,0.6289,0.5652,0.624,0.5794
2018-01-30,0.5794,0.4611,0.5794,0.4819
2018-01-31,0.5478,0.441,0.4875,0.5309
2018-02-01,0.543,0.422,0.5323,0.4556
2018-02-02,0.454,0.3,0.454,0.415
2018-02-03,0.486,0.3505,0.415,0.4444
2018-02-04,0.474,0.356,0.449,0.384
2018-02-05,0.42,0.2919,0.375,0.323
2018-02-06,0.365,0.2593,0.322,0.3611
2018-02-07,0.39,0.33,0.3633,0.3356
2018-02-08,0.374,0.331,0.3318,0.353
2018-02-09,0.3989,0.3359,0.353,0.392
2018-02-10,0.4377,0.3625,0.392,0.388
2018-02-11,0.3888,0.3396,0.388,0.3623
2018-02-12,0.3939,0.3595,0.3608,0.3845
2018-02-13,0.426,0.361,0.3845,0.398
2018-02-14,0.45,0.3911,0.398,0.4481
2018-02-15,0.4567,0.4295,0.4481,0.4406
2018-02-16,0.452,0.4313,0.4406,0.447
2018-02-17,0.4784,0.4438,0.447,0.4784
2018-02-18,0.4802,0.4228,0.4785,0.4347
2018-02-19,0.4562,0.4309,0.4347,0.443
2018-02-20,0.4488,0.3859,0.443,0.3897
2018-02-21,0.4251,0.3634,0.3897,0.3745
2018-02-22,0.3965,0.3365,0.3745,0.3471
2018-02-23,0.3806,0.3363,0.3471,0.3666
2018-02-24,0.3752,0.3292,0.3667,0.3423
2018-02-25,0.3578,0.3275,0.3423,0.3491
2018-02-26,0.3673,0.3354,0.3491,0.3546
2018-02-27,0.3737,0.3487,0.3546,0.3564
2018-02-28,0.3637,0.3278,0.3564,0.3299
2018-03-01,0.3465,0.3147,0.3294,0.338
2018-03-02,0.34,0.318,0.338,0.3186
2018-03-03,0.3487,0.3111,0.3186,0.3477
2018-03-04,0.3646,0.3388,0.3477,0.3624
